relevance,min_member_sat,fairness_gap,disagreement,diversity,group_ndcg,group_hit,min_member_ndcg,min_member_hit,method,kind,n_groups,coverage
0.9996524535783446,0.9999040890448164,9.021074465005705e-05,3.4189305350652003e-09,0.88219684539455,0.03054146103759527,0.15033003300330033,0.006152075140025227,0.0297029702970297,avg_baseline,random,101,0.0017274374650701984
0.9997476067873511,0.9998821226677092,0.00010563949547191657,4.600969757068745e-09,0.8821394520230813,0.057915686183002496,0.23498349834983498,0.007929461016638977,0.039603960396039604,avg_baseline,similar,101,0.0017274374650701984
0.9980637165579466,0.9995898551279956,0.0003891864625534209,5.515749529916072e-08,0.8742261936168859,0.048282971943809795,0.17508250825082505,0.005037032751588359,0.009900990099009901,avg_baseline,divergent,101,0.0017274374650701984
0.9991545923078807,0.9997920222801737,0.0001950122342251315,2.1059131863764888e-08,0.8795208303448391,0.045580039721469186,0.18679867986798682,0.006372856302750854,0.026402640264026403,avg_baseline,all,303,0.0017274374650701984
0.9987862399308989,0.9998485864979205,0.00013900747393617534,8.483319272098031e-09,0.9993703689905676,0.01961435468675483,0.08432343234323432,0.005554247001560938,0.0297029702970297,nn_greedy,random,101,0.00284519111893915
0.9988186388912768,0.9998366791423005,0.00014185964471042747,8.34604771858167e-09,0.9987488518847097,0.04273047887620329,0.14273927392739275,0.003358021834392239,0.009900990099009901,nn_greedy,similar,101,0.00284519111893915
0.997597599383628,0.9993753940752237,0.0005607197780420285,1.4121917698897123e-07,0.9981689022319151,0.02875876229900381,0.1288778877887789,0.007815006034954048,0.039603960396039604,nn_greedy,divergent,101,0.00284519111893915
0.9984008260686011,0.9996868865718149,0.0002805289655628771,5.268284799321698e-08,0.9987627077023975,0.030367865287320647,0.11864686468646864,0.005575758290302408,0.026402640264026403,nn_greedy,all,303,0.00284519111893915
0.9935765998198254,0.998613453147435,0.0012067892763874318,1.1442671956211916e-06,0.9700578651805916,0.06284024182961978,0.21749174917491748,0.0076375527501692745,0.039603960396039604,diffusion_greedy,random,101,0.004369400646942266
0.9930634032381643,0.9982946951790611,0.001196900216659697,1.032104500455964e-06,0.9694700860741114,0.09103087997036038,0.27359735973597366,0.010206718317225192,0.039603960396039604,diffusion_greedy,similar,101,0.004369400646942266
0.9838231465604046,0.9946808584845892,0.004521151580432854,9.414831685881548e-06,0.9648165089069026,0.08629754607542252,0.24735973597359737,0.016549735635218818,0.0297029702970297,diffusion_greedy,divergent,101,0.004369400646942266
0.9901543832061315,0.9971963356036951,0.002308280357826661,3.8637344606529015e-06,0.9681148200538685,0.08005622262513425,0.24614961496149618,0.011464668900871094,0.036303630363036306,diffusion_greedy,all,303,0.004369400646942266
0.9974134900782368,0.9999054310345413,8.685695062769521e-05,2.5516454844268863e-09,0.9725292643698136,0.039973228208852275,0.16881188118811882,0.004688196578818616,0.019801980198019802,nn_rl,random,101,0.0031330973631175166
0.9985633752133587,0.9998849718877585,0.00010077611054524337,4.02565498592954e-09,0.9727786590557287,0.07219596256340272,0.2749174917491749,0.0087663475015576,0.039603960396039604,nn_rl,similar,101,0.0031330973631175166
0.9869532956935392,0.9996728572514978,0.0002952849510872718,3.7543815043363004e-08,0.9716472000178724,0.07223725510331057,0.24257425742574257,0.01076033240213542,0.039603960396039604,nn_rl,divergent,101,0.0031330973631175166
0.9943100536617115,0.9998210867245992,0.00016097267075340345,1.4707038504573142e-08,0.9723183744811382,0.06146881529185519,0.22876787678767876,0.008071625494170544,0.033003300330033,nn_rl,all,303,0.0031330973631175166
0.9849507749670803,0.9988433459017536,0.0009748894389313047,4.821553078425068e-07,0.9440224660505162,0.07101804114762376,0.21171617161716172,0.010699473642083417,0.0297029702970297,diffusion_rl,random,101,0.004640371229698376
0.9877053811998651,0.9986446434908575,0.0010872365224479448,1.0150219390756685e-06,0.9414853825427518,0.10292864570213456,0.31584158415841584,0.0187477450304587,0.07920792079207921,diffusion_rl,similar,101,0.004640371229698376
0.8872222487289126,0.9970248571716913,0.002639778179697471,3.590953610552969e-06,0.944490656994357,0.13327052187466473,0.3909240924092409,0.024081202377496436,0.0891089108910891,diffusion_rl,divergent,101,0.004640371229698376
0.9532928016319526,0.9981709488547674,0.0015673013803589068,1.6960436191570483e-06,0.943332835195875,0.10240573624147438,0.30616061606160616,0.01784280701667952,0.066006600660066,diffusion_rl,all,303,0.004640371229698376
